n12,m3456,k12,N,M,K,Class
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",I-i
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",I-i
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",III-i
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",III-i
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0, 1, 1)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",III-ii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0, 1, 1, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 0, 1)","(0, 0, 1, 1, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1, 0, 0, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 1, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 0, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 0, 1)","(0, 0, 1, 1, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 0, 1)","(1, 1, 0, 0, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 0)","(0, 0, 1, 1, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 0, 1, 0)","(1, 1, 0, 0, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)","(0, 0, 1, 1, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",III-iii
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",II-ii
